Code SINOE EPCI adherant,Nom adherant,Code sinoe SYNDICAT,Nom syndicat
52771,Communauté de Communes Golfe de St Tropez,577,Syndicat Intercommunal de Transport et Traitement des Om de lAire Toulonaise
57033,Communauté de Communes Bruyères - Vallons des Vosges,581,Syndicat Intercommunal de Collecte et de Valorisation des Déchets de la Région dEpinal
57657,Communauté dAgglomération dEpinal,581,Syndicat Intercommunal de Collecte et de Valorisation des Déchets de la Région dEpinal
57658,Communauté de Communes de la Porte des Vosges Méridionales,581,Syndicat Intercommunal de Collecte et de Valorisation des Déchets de la Région dEpinal
1192,Communauté de Communes des Ballons des Hautes-vosges,582,Etablissement Vosgien dOptimisation des Déchets Par lInnovation et lAction
30406,Communauté de Communes de la Région de Rambervillers,582,Etablissement Vosgien dOptimisation des Déchets Par lInnovation et lAction
57394,Communauté dAgglomération de Saint-dié-des-vosges,582,Etablissement Vosgien dOptimisation des Déchets Par lInnovation et lAction
57488,Communauté de Communes Terre dEau,582,Etablissement Vosgien dOptimisation des Déchets Par lInnovation et lAction
57659,Communauté de Communes de lOuest Vosgien,582,Etablissement Vosgien dOptimisation des Déchets Par lInnovation et lAction
57661,Communauté de Communes des Hautes Vosges,582,Etablissement Vosgien dOptimisation des Déchets Par lInnovation et lAction
56114,Communauté de Communes du Pays dHuriel,599,Sictom de la Région Montluçonnaise
56118,Communauté de Communes du Pays de Tronçais,599,Sictom de la Région Montluçonnaise
57741,Communauté dAgglomération Montluçon Communauté,599,Sictom de la Région Montluçonnaise
57746,Communauté de Communes Commentry Montmarault Néris Communauté,599,Sictom de la Région Montluçonnaise
33895,Communauté de Communes Pays de Lamastre,604,Si de Collecte et de Traitement des Ordures Ménagères du Secteur Eyrieux-doux
53220,Communauté de Communes de la Haute Vallée de Chevreuse,618,Siom de la Vallee de Chevreuse
56924,Communauté dAgglomération Paris-saclay,618,Siom de la Vallee de Chevreuse
11797,Communauté de Communes du Pays Beaume-drobie,631,Syndicat Intercommunal de Collecte et de Traitement des Ordures Ménagères de la Basse-ardèche
55621,Cc Pays des Vans en Cevennes,631,Syndicat Intercommunal de Collecte et de Traitement des Ordures Ménagères de la Basse-ardèche
55626,Communauté de Communes Gorges de lArdèche,631,Syndicat Intercommunal de Collecte et de Traitement des Ordures Ménagères de la Basse-ardèche
56496,Communauté de Communes des Vallons de Haute-Bretagne Communauté,646,Smictom des Pays de Vilaine
57437,Communauté de Communes Bretagne Porte de Loire Communauté,646,Smictom des Pays de Vilaine
700,Redon Agglomération,646,Smictom des Pays de Vilaine
53882,Communauté de Communes Fercher Pays Florentais,648,Sictom de la Champagne Berrichonne
57772,Communauté de Communes Champagne Boischauts,648,Sictom de la Champagne Berrichonne
57731,Communauté dAgglomération Agglo Pays dIssoire,658,Sictom des Couzes
57734,Communauté de Communes Mondarverne Communauté,658,Sictom des Couzes
6186,Communauté de Communes du Massif du Sancy,658,Sictom des Couzes
57733,Communauté de Communes Dômes Sancy Artense,659,Smctom de la Haute-dordogne
57737,Communauté de Communes  Chavanon Combrailles et Volcans,659,Smctom de la Haute-dordogne
4736,Communauté dAgglomération Grand Montauban,696,Sirtomad
57095,Communauté de Communes Terres des Confluences,696,Sirtomad
56790,Communauté de Communes Chinon, Vienne et Loire,708,Smictom du Chinonais
57774,Communauté de Communes Touraine Ouest Val de Loire,708,Smictom du Chinonais
57776,Communauté de Communes Touraine Val de Vienne,708,Smictom du Chinonais
3196,Communauté dAgglomération Montargeoise et Rives du Loing,718,Smirtom de la Région de Montargis
56273,Communauté de Communes des Quatre Vallées,718,Smirtom de la Région de Montargis
57320,Communauté de Communes de la Cléry, du Betz et de lOuanne,718,Smirtom de la Région de Montargis
57850,Communauté de Communes du Confluent et des Coteaux de Prayssas,721,Syndicat Mixte Intercommunal de Collecte et de Traitement des Ordures Ménagères Lot-garonne-baïse
57853,Communauté de Communes Albret Communauté,721,Syndicat Mixte Intercommunal de Collecte et de Traitement des Ordures Ménagères Lot-garonne-baïse
57558,Communauté de Communes Gorges Causses Cévennes,724,Sictom des Bassins du Haut Tarn
57560,Communauté de Communes des Cévennes au Mont Lozère,724,Sictom des Bassins du Haut Tarn
57480,Ca Guingamp-paimpol Armor-argoat Agglomération,756,Smictom du Menez Bré
57607,Ca Lannion-trégor Communauté,756,Smictom du Menez Bré
1084,Smctom de Thiviers,758,Syndicat Mixte Departemental des Déchets de la Dordogne
1610,Sictom du Perigord Noir,758,Syndicat Mixte Departemental des Déchets de la Dordogne
56041,Communauté de Communes des Portes Sud Périgord,758,Syndicat Mixte Departemental des Déchets de la Dordogne
56044,Communauté de Communes des Bastides Dordogne Périgord,758,Syndicat Mixte Departemental des Déchets de la Dordogne
56214,Communauté de Communes Isle Verne Salembre en Périgord,758,Syndicat Mixte Departemental des Déchets de la Dordogne
57883,Communauté dAgglomération Bergeracoise,758,Syndicat Mixte Departemental des Déchets de la Dordogne
57885,Communauté de Communes Isle et Crempse en Périgord,758,Syndicat Mixte Departemental des Déchets de la Dordogne
36648,Communauté de Communes de Cèze Cévennes,780,Smiritom Nord Alès
56366,Communauté de Communes Côte dEmeraude,801,Syndicat Mixte de Traitement des Dechets des Pays de Rance et de la Baie
57809,Communauté de Communes du Pays de Dol et de la Baie du Mont Saint-michel,801,Syndicat Mixte de Traitement des Dechets des Pays de Rance et de la Baie
6116,Communauté dAgglomération de Saint Malo,801,Syndicat Mixte de Traitement des Dechets des Pays de Rance et de la Baie
11723,Cc de Berg et Coiron,818,Syndicat pour la Destruction des Ordures Ménagères du Secteur dAubenas
11799,Cc Val de Ligne,818,Syndicat pour la Destruction des Ordures Ménagères du Secteur dAubenas
55617,Communauté de Communes Ardèche des Sources et Volcans,818,Syndicat pour la Destruction des Ordures Ménagères du Secteur dAubenas
57702,Communauté de Communes de la Montagne dArdèche,818,Syndicat pour la Destruction des Ordures Ménagères du Secteur dAubenas
57703,Communauté de Communes du Bassin dAubenas,818,Syndicat pour la Destruction des Ordures Ménagères du Secteur dAubenas
17998,Communauté de Communes du Pays dOlmes,822,Smectom du Plantaurel
17999,Communauté de Communes du Pays de Tarascon,822,Smectom du Plantaurel
1865,Communauté de Communes du Pays de Mirepoix,822,Smectom du Plantaurel
57083,Communauté de Communes de la Haute-ariège,822,Smectom du Plantaurel
57753,Communauté dAgglomération Pays Foix-varilhes,822,Smectom du Plantaurel
57754,Communauté de Communes Arize Lèze,822,Smectom du Plantaurel
57755,Communauté de Communes des Portes dAriège Pyrénées,822,Smectom du Plantaurel
56268,Communauté de Communes du Pays dUzès,853,Sictom de la Région dUzès
21087,Communauté de Communes de la Plaine Jurassienne,860,Sictom de la Zone de Dole
57131,Communauté dAgglomération du Grand Dole,860,Sictom de la Zone de Dole
6033,Communauté de Communes Jura Nord,860,Sictom de la Zone de Dole
56591,Communauté de Communes du Perche et Haut Vendômois,861,Syndicat Mixte de Collecte, de Traitement et de Valorisation des Déchets Ménagers du Vendomois
57798,Communauté dAgglomération Territoires Vendômois,861,Syndicat Mixte de Collecte, de Traitement et de Valorisation des Déchets Ménagers du Vendomois
56860,Communauté de Communes du Provinois,884,Covaltri
57358,Communauté de Communes du Val Briard,884,Covaltri
57420,Communauté de Communes des Deux Morin,884,Covaltri
58000,Communauté dAgglomération de Coulommiers Pays de Brie,884,Covaltri
17687,Communauté de Communes de Noblat,887,Syndicat Mixte Departemental pour L Elimination des Dechets Menagers et Assimiles
17689,Communauté de Communes de Briance Combade,887,Syndicat Mixte Departemental pour L Elimination des Dechets Menagers et Assimiles
17691,Communauté de Communes des Portes de Vassiviere,887,Syndicat Mixte Departemental pour L Elimination des Dechets Menagers et Assimiles
17766,Communauté de Communes du Val de Vienne,887,Syndicat Mixte Departemental pour L Elimination des Dechets Menagers et Assimiles
57297,Communauté de Communes Ouest Limousin,887,Syndicat Mixte Departemental pour L Elimination des Dechets Menagers et Assimiles
57858,Communauté de Communes Porte Océane du Limousin,887,Syndicat Mixte Departemental pour L Elimination des Dechets Menagers et Assimiles
57859,Communauté de Communes Elan Limousin Avenir Nature,887,Syndicat Mixte Departemental pour L Elimination des Dechets Menagers et Assimiles
57860,Communauté de Communes Pays de Nexon Monts de Châlus,887,Syndicat Mixte Departemental pour L Elimination des Dechets Menagers et Assimiles
57861,Communauté de Communes Haut Limousin en Marche,887,Syndicat Mixte Departemental pour L Elimination des Dechets Menagers et Assimiles
57862,Communauté de Communes Gartempe - Saint Pardoux,887,Syndicat Mixte Departemental pour L Elimination des Dechets Menagers et Assimiles
922,Sictom Sud Haute-vienne,887,Syndicat Mixte Departemental pour L Elimination des Dechets Menagers et Assimiles
11743,Communauté de Communes Fier et Usses,889,Syndicat Mixte du Lac dAnnecy
